super_opeid,opeid,institution_name,superopeid_name,multi
-1,1008,ATHENS STATE UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1023,JUDSON COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1026,MARION MILITARY INSTITUTE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1061,ALASKA PACIFIC UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1062,SHELDON JACKSON COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1087,ARKANSAS BAPTIST COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1088,LYON COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1093,CENTRAL BAPTIST COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1095,CROWLEY'S RIDGE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1105,SHORTER COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,COLLEGES WITH INSUFFICIENT DATA,1
-1,1121,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD,COLLEGES WITH INSUFFICIENT DATA,1
-1,1177,COGSWELL POLYTECHNICAL COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1179,NOTRE DAME DE NAMUR UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1183,HOLY NAMES UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1200,,COLLEGES WITH INSUFFICIENT DATA,1
-1,1205,GOLDEN GATE UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1212,HUMPHREYS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1218,LOMA LINDA UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1229,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,COLLEGES WITH INSUFFICIENT DATA,1
-1,1236,MENLO COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1241,MONTEREY INSTITUTE OF INTERNATIONAL STUDIES,COLLEGES WITH INSUFFICIENT DATA,1
-1,1252,HOPE INTERNATIONAL UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1255,PACIFIC OAKS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1278,SAN FRANCISCO CONSERVATORY OF MUSIC,COLLEGES WITH INSUFFICIENT DATA,1
-1,1281,WILLIAM JESSUP UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1289,SHASTA COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
